file_path,data_name,description,data_type,info_type,units,data_label,icon,colour,colour_description,thickness,info,LA_colours_option1,option1_description,LA_colours_option2,option2_description,LA_colours_option3,option3_description,notes,
data/humanitarian/moz_trs_roadaccessconstraints_wfp/moz_trs_roadaccessconstraints_wfp.shp,Restricted roads,Sections of the road that are restricted,Vector Line,marker line,,,icons/Damage-affected.svg,,,,Classify by 'status'. 'Restricted' and 'restricted' need to be merged. Remove other options. Should be a vector marker line. Need to be displayed over the top of the other road layers.,#00000,black,#5d5455,dark grey,,,Because the roads are different colours I think this needs to stay as black or dark grey so it is visible over the other road layers. See which looks better.,
data/humanitarian/moz_trs_roadaccessconstraints_wfp/moz_trs_roadaccessconstraints_wfp.shp,Closed roads,Sections of the road that are closed,Vector Line,marker line,,,icons/Physical-closure.svg,,,,Classify by 'status'. 'Closed' and 'closed' need to be merged. Remove other options. Should be a vector marker line. Need to be displayed over the top of the other road layers.,#00000,black,#5d5455,dark grey,,,Because the roads are different colours I think this needs to stay as black or dark grey so it is visible over the other road layers. See which looks better.,
data/flood_hazard/Mozambique_1in100yearfloodMERIT_MERITHydro_depth,,Flood Depth (m),raster,raster,m,Water Depth (m),,viridis (preference) or blues,viridis or blues,,,,,,,,,,
data/humanitarian_data/Beira_Roads_gpkg/Beira_Roads.gpkg,Motorway,Motorway,Vector Line,line,,,,#0a0405,Black,0.86,,,,,,,,,
data/humanitarian_data/Beira_Roads_gpkg/Beira_Roads.gpkg,Trunk,Trunk Roads,Vector Line,line,,,,#070707,Black,0.66,,,,,,,,,
data/humanitarian_data/Beira_Roads_gpkg/Beira_Roads.gpkg,Primary,Primary Roads,Vector Line,line,,,,#c8a477,Beige,0.46,,,,,,,,,
data/humanitarian_data/Beira_Roads_gpkg/Beira_Roads.gpkg,Secondary,Secondary Roads,Vector Line,line,,,,#52513e,Greeny Beige,0.36,,,,,,,,,
data/humanitarian_data/Beira_Roads_gpkg/Beira_Roads.gpkg,Tertiary,Tertiary Roads,Vector Line,line,,,,#464638,Greeny Beige,0.26,,,,,,,,,
data/humanitarian_data/Beira_Roads_gpkg/Beira_Roads.gpkg,all_other_values,Other,Vector Line,line,,,,#0d1514,Black,0.09,,,,,,,,,
data/humanitarian_data/Beira_Airports_gpkg/Beira_Airports_selected.gpkg,Airports,Airports,Vector Point,marker,,,data_GIS_Icons/SVG_Symbols/Humanitarian_Icons_v02/Humanitarian_icons_SVG/Airport.svg,#34b1eb,Sky blue,,,,,,,,,,
data/humanitarian_data/Beira_waterways_gpkg/Beira_rivers.gpkg,Rivers,Rivers,Vector Line,line,,,,#0384fc,blue,3,,,,,,,,,
data/flood_hazard/ST1_20190320_WaterExtent_SofalaProvince.shp,Observed Flooding,Observed flooding from Sentinel 1,Vector Polygon,polygon,,,,#29c7f2,sky blue,,,,,,,,,,
data/humanitarian_data/admin_levels/districts.gpkg,Districts,Districts in Mozambique,Vector Polygon,polygon,,,,#000000,black,,Label by NAME_2 if possible,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
